id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
96033,Rental unit in Málaga · ★4.62 · 2 bedrooms · 2 beds · 1 bath,510467,Rafael,,Este,36.72031,-4.35627,Entire home/apt,53,3,206,2023-12-17,1.66,1,260,43,VFT/MA/22043
166473,Rental unit in Málaga · ★4.73 · 1 bedroom · 4 beds · 2 shared baths,793360,Fred,,Este,36.72031,-4.36108,Private room,19,5,94,2023-11-04,0.63,4,189,6,
212845,Rental unit in Málaga · ★4.81 · 1 bedroom · 2 beds · 1.5 shared baths,617998,Valle,,Este,36.72607,-4.36383,Shared room,43,2,43,2023-06-24,0.30,2,0,3,VFT/MA/09354
330760,Townhouse in Málaga · ★4.50 · 1 bedroom · 1 bed · 1.5 shared baths,1687526,Mayte,,Centro,36.729786,-4.413462,Private room,44,1,55,2023-12-15,0.38,6,325,7,VFT/MA/12240
340024,Rental unit in Málaga · ★4.83 · 1 bedroom · 1 bed · 1 bath,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,61,3,244,2023-12-18,1.86,1,0,38,VFT/MA/02334
358541,Rental unit in Málaga · ★4.76 · 1 bedroom · 1 bed · 1 bath,1526932,Cristina,,Centro,36.72374,-4.4213,Entire home/apt,93,2,362,2023-12-09,2.54,1,154,27,VFT/MA/02288
413063,Rental unit in Málaga · ★4.61 · 1 bedroom · 1 bed · 1 bath,2055304,Michael,,Centro,36.720215,-4.42297,Entire home/apt,86,4,32,2023-10-27,0.23,1,205,11,CTC-2023053184
421077,Rental unit in Málaga · ★4.55 · 1 bedroom · 1 bed · 1 bath,2092252,Juliette,,Centro,36.721,-4.42454,Entire home/apt,81,1,95,2023-09-25,0.67,9,244,15,H
427860,Home in Málaga · ★4.35 · 1 bedroom · 2 beds · 1 shared bath,2126353,Pablo,,Centro,36.73323440551758,-4.415975093841553,Private room,45,3,21,2023-12-11,0.15,3,338,4,CTC-2019124497
505688,Loft in Málaga · ★4.71 · 2 bedrooms · 2 beds · 1 bath,2489890,Fede,,Centro,36.72402,-4.42013,Entire home/apt,71,4,217,2023-12-12,1.56,12,39,23,VFT/MA/00643
507961,Loft in Málaga · ★4.79 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,,Centro,36.72387,-4.41937,Entire home/apt,68,4,182,2023-12-17,1.30,12,27,18,VFT/MA/00641
508787,Loft in Málaga · ★4.59 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,49,3,225,2023-11-28,1.61,12,81,16,VFT/MA/00576
509073,Loft in Málaga · ★4.67 · 1 bedroom · 1 bed · 1 bath,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,51,4,224,2023-11-29,1.61,12,72,17,VFT/MA/00574
550804,Rental unit in Málaga · ★4.28 · Studio · 1 bed · 1.5 baths,2707228,Alfonso,,Centro,36.71647,-4.41177,Entire home/apt,49,5,86,2023-12-10,0.67,2,80,9,VFT/MA/672
577612,Rental unit in Málaga · ★4.72 · 3 bedrooms · 3 beds · 1 bath,2840633,Carolina,,Centro,36.7208251953125,-4.422372817993164,Entire home/apt,192,3,305,2023-05-29,2.35,1,302,8,VFT/MA/0032
603361,Rental unit in Málaga · ★4.80 · 1 bedroom · 2 beds · 1 private bath,2986899,Andrés,,Centro,36.72851,-4.41452,Private room,55,2,414,2023-12-15,2.98,5,110,13,VFT/MA/08683
611037,Rental unit in Málaga · ★4.66 · 1 bedroom · 1 bed · 1 bath,3029584,Javier - Cap,,Centro,36.72889,-4.42142,Entire home/apt,92,3,197,2023-11-11,1.56,1,251,20,VFT/MA/00239
634046,Condo in Málaga · ★4.67 · 3 bedrooms · 4 beds · 2 baths,2489890,Fede,,Este,36.7178,-4.34829,Entire home/apt,79,5,78,2023-07-30,0.60,12,35,5,VFT/MA/00573
655701,Rental unit in Málaga · ★4.55 · 2 bedrooms · 6 beds · 1 bath,3301281,Mariano,,Churriana,36.64943,-4.47706,Entire home/apt,93,2,74,2023-09-11,0.65,4,294,12,VFT/MA/01571
663794,Rental unit in Málaga · ★4.37 · 3 bedrooms · 3 beds · 1 bath,3301281,Mariano,,Centro,36.73097,-4.4235,Entire home/apt,71,5,35,2023-09-17,0.28,4,167,5,VFT/MA/15196
718943,Rental unit in Málaga · ★4.33 · 3 bedrooms · 5 beds · 1 bath,3083727,Loly  &,,Este,36.71823,-4.34948,Entire home/apt,141,3,9,2019-08-07,0.08,8,0,0,CTC-2018082080
726869,Home in Málaga · ★4.78 · 2 bedrooms · 3 beds · 1 bath,3764491,Alicia,,Centro,36.72844,-4.4155,Entire home/apt,73,1,9,2023-09-06,0.07,1,123,5,CTC-2019087257
730403,Rental unit in Málaga · ★3.60 · 1 bedroom · 1 bed · 1.5 shared baths,3798354,Silvia,,Carretera de Cadiz,36.69444,-4.45008,Private room,30,2,5,2023-10-31,0.05,1,255,2,
739253,Home in Málaga · ★4.92 · 2 bedrooms · 2 beds · 1 private bath,3853586,Liz,,Este,36.719255814001706,-4.342438597811261,Private room,65,1,87,2023-11-12,0.73,1,77,14,VFT/MA/62965
744037,Rental unit in Málaga · ★4.70 · 2 bedrooms · 2 beds · 1 bath,3899104,Alejandro,,Centro,36.71782,-4.41255,Entire home/apt,80,4,221,2023-12-01,1.76,1,0,20,VFT/MA/01057
746003,Rental unit in Málaga · ★5.0 · 1 bedroom · 3 beds · 1 bath,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,86,2,22,2023-03-06,0.17,3,181,3,VFT/MA/36124
753119,Rental unit in Málaga · ★4.86 · 2 bedrooms · 3 beds · 1 bath,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,99,2,43,2023-11-10,0.33,3,150,5,VFT/MA/26818
753252,Rental unit in Málaga · ★4.95 · 2 bedrooms · 2 beds · 1 bath,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,101,2,20,2023-09-11,0.15,3,185,3,VFT/MA/36209
783360,Rental unit in Málaga · ★4.74 · 4 bedrooms · 7 beds · 2.5 baths,3301281,Mariano,,Centro,36.72366,-4.41938,Entire home/apt,162,2,268,2023-12-16,2.01,4,291,34,VFT/MA/00436
786626,Rental unit in Málaga · ★4.25 · 1 bedroom · 1 bed · 1 bath,4147118,Apartamentos San Pablo,,Centro,36.72366,-4.42749,Entire home/apt,79,4,9,2022-09-26,0.07,9,342,0,A/MA/01193
786638,Rental unit in Málaga · ★5.0 · Studio · 1 bed · 1.5 baths,4147118,Apartamentos San Pablo,,Centro,36.723194,-4.428165,Entire home/apt,150,7,3,2022-02-18,0.09,9,307,0,A/MA/01193
786648,Serviced apartment in Málaga · 1 bedroom · 2 beds · 1 bath,4147118,Apartamentos San Pablo,,Centro,36.72342,-4.42748,Entire home/apt,150,5,0,,,9,245,0,N.R : A/MA/01193
786651,Rental unit in Málaga · 2 bedrooms · 3 beds · 1 bath,4147118,Apartamentos San Pablo,,Centro,36.72244,-4.42891,Entire home/apt,116,5,1,2013-12-31,0.01,9,364,0,A/MA/01193
786656,Rental unit in Málaga · 1 bedroom · 1 bed · 1 bath,4147118,Apartamentos San Pablo,,Centro,36.72295,-4.42728,Entire home/apt,90,4,0,,,9,358,0,A/MA/01193
786663,Rental unit in Málaga · 1 bedroom · 3 beds · 1 bath,4147118,Apartamentos San Pablo,,Centro,36.72341,-4.42795,Entire home/apt,150,5,2,2016-10-09,0.02,9,364,0,A/MA/01193
787704,Rental unit in Málaga · ★4.88 · 1 bedroom · 2 beds · 1 shared bath,4150267,MCarmen,,Bailen-Miraflores,36.7222,-4.44543,Private room,28,3,41,2023-12-10,0.31,1,160,16,CTC-2018131453
844426,Rental unit in Málaga · ★4.07 · 2 bedrooms · 2 beds · 1 bath,3686400,Manuel,,Centro,36.7246,-4.42487,Entire home/apt,176,2,113,2023-12-03,0.86,3,180,2,
905123,Rental unit in Málaga · ★4.19 · 3 bedrooms · 5 beds · 1 bath,4841998,Emilia Y Pepe,,Carretera de Cadiz,36.70293,-4.44553,Entire home/apt,154,1,16,2023-07-23,0.14,4,65,1,VFT/MA/01024
964289,Rental unit in Málaga · ★3.70 · 4 bedrooms · 8 beds · 1.5 baths,4841998,Emilia Y Pepe,,Cruz De Humilladero,36.71532,-4.45222,Entire home/apt,170,1,10,2023-08-20,0.13,4,155,3,VFT/MA/01619
989188,Rental unit in Málaga · ★4.90 · 1 bedroom · 2 beds · 1 bath,5430318,Benno,,Este,36.74119,-4.35908,Entire home/apt,80,4,10,2023-02-18,0.09,3,342,1,VFT/MA/08407
989607,Rental unit in Málaga · ★4.92 · 1 bedroom · 2 beds · 1 bath,5430318,Benno,,Este,36.7392,-4.35776,Entire home/apt,80,4,12,2023-08-01,0.09,3,271,1,VFT/MA/08407
990183,Loft in Málaga · ★4.88 · 1 bedroom · 1 bed · 1 bath,5437078,Maricruz,,Centro,36.72462,-4.42151,Entire home/apt,99,5,33,2023-12-10,0.28,2,118,3,VFT/MA/1093
