id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
561654306981369438,Vacation home in Sevilla · ★4.69 · 1 bedroom · 2 beds · 1 bath,209748933,Mariano,Triana,Triana Oeste,37.3891716003418,-6.009562015533447,Entire home/apt,281,1,16,2023-11-13,0.78,44,87,9,VFT/SE/04999
15479525,Home in Sevilla · ★4.63 · 2 bedrooms · 7 beds · 3 baths,99370256,Mi Casa,Casco Antiguo,Alfalfa,37.38967,-5.99562,Entire home/apt,484,2,119,2023-12-03,1.36,5,288,15,VFT/SE/00873
12785235,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,7080099,Alvaro,Sur,"Tiro de Línea, Santa Genoveva",37.37002,-5.97726,Private room,66,61,0,,,4,90,0,
914985505906780237,Rental unit in Sevilla · ★4.90 · 1 bedroom · 2 beds · 1 bath,504269030,Rafael,Casco Antiguo,San Vicente,37.3968145,-5.9997632,Entire home/apt,93,2,10,2023-12-23,1.79,5,328,10,A/SE/00432
686891099292953953,Rental unit in Sevilla · 2 bedrooms · 4 beds · 2 baths,473481460,Andres,Triana,Triana Casco Antiguo,37.386195224820696,-6.004392593887324,Entire home/apt,700,3,1,2023-03-23,0.11,1,7,1,VFT/SE/02161
23120468,Rental unit in Seville · ★4.71 · 2 bedrooms · 3 beds · 1 bath,171800364,Juan,Casco Antiguo,San Bartolomé,37.39095,-5.98767,Entire home/apt,150,1,28,2022-12-26,0.40,1,280,0,VFT/SE/02887
34621515,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,261192740,Sevilla Este,Este - Alcosa - Torreblanca,no asignado,37.40788,-5.93355,Entire home/apt,,1,1,2023-08-25,0.24,1,0,1,VFT/SE/05537
721526982103530146,Rental unit in Sevilla · ★4.93 · 2 bedrooms · 4 beds · 2 baths,51048225,Sevilla,Casco Antiguo,Alfalfa,37.390147951,-5.991705287,Entire home/apt,,1,28,2023-12-09,2.37,95,0,28,VFT/SE/01643
53931863,Rental unit in Sevilla · ★4.64 · 1 bedroom · 3 beds · 1 bath,14958822,Nacho,Casco Antiguo,Arenal,37.38719,-5.99654,Entire home/apt,165,2,11,2022-09-24,0.49,161,209,0,A/SE/00333
662253569457221730,Vacation home in Sevilla · 2 bedrooms · 4 beds · 2 baths,467269258,Calma Suites,Casco Antiguo,Alfalfa,37.3916793,-5.997108400000001,Entire home/apt,245,1,1,2023-04-09,0.11,5,42,1,A/SE/00316
33855184,Rental unit in Sevilla · ★4.72 · 1 bedroom · 1 bed · 1 bath,35659996,Antonio F,Casco Antiguo,Arenal,37.388199,-5.998469,Entire home/apt,72,2,287,2023-12-22,5.02,5,41,67,CTC-2019049032
36991528,Rental unit in Sevilla · 1 bedroom · 1 bed · 1 bath,238434973,Carmen,Casco Antiguo,San Gil,37.40075,-5.98772,Entire home/apt,30,60,0,,,17,205,0,
44055599,Hostel in Sevilla · 1 bedroom · 2 beds · 1 shared bath,162000389,Pérez Montilla,Casco Antiguo,San Bartolomé,37.38582,-5.98608,Private room,430,1,0,,,31,46,0,Cód. Reg. Turismo: H/SE/00508
47251231,Rental unit in Sevilla · ★4.67 · 2 bedrooms · 3 beds · 1 bath,35477044,Jesus,Casco Antiguo,Feria,37.39709,-5.99362,Entire home/apt,127,2,3,2023-11-19,1.45,1,74,3,VFT/SE/07277
1014265156426902778,Home in Sevilla · ★New · 12 bedrooms · 10 baths,256062795,Estancias Con Encanto,Palmera - Bellavista,"Sector Sur, La Palmera, Reina Mercedes",37.36160351387232,-5.98464835435152,Entire home/apt,950,1,0,,,1,269,0,Exempt
602813958326920251,Rental unit in Sevilla · ★4.50 · 1 bedroom · 2 beds · 1 bath,113546787,Fran Y Manuela,Casco Antiguo,San Bartolomé,37.385773,-5.987123,Entire home/apt,236,1,6,2023-06-08,0.31,29,299,3,A/SE/00263
842520461994094371,Rental unit in Sevilla · ★5.0 · 1 bedroom · 1 bed · 1 bath,46639787,Puerta Catedral,Casco Antiguo,Arenal,37.3885424,-5.9978764,Entire home/apt,287,1,33,2023-12-26,4.76,13,341,33,A/SE/00402
576707105486527403,Loft in Sevilla · ★4.73 · 1 bedroom · 1 bed · 1 bath,119955155,Diego Josue,Casco Antiguo,Alfalfa,37.39244,-5.99385,Entire home/apt,75,2,95,2023-12-17,4.34,10,75,56,VFT/SE/08261
